# Generated by Log[com.rapidminer.datatable.SimpleDataTable]
# k	d	per
1.0	true	0.985691573926868
3.0	true	0.9872813990461049
5.0	true	0.9809220985691574
7.0	true	0.9841017488076311
9.0	true	0.9833068362480127
11.0	true	0.9793322734499205
13.0	true	0.9753577106518283
15.0	true	0.972972972972973
17.0	true	0.9721780604133545
19.0	true	0.9697933227344993
21.0	true	0.9697933227344993
1.0	false	0.9864864864864865
3.0	false	0.9872813990461049
5.0	false	0.9793322734499205
7.0	false	0.9793322734499205
9.0	false	0.9777424483306836
11.0	false	0.9745627980922098
13.0	false	0.9745627980922098
15.0	false	0.9713831478537361
17.0	false	0.9682034976152624
19.0	false	0.9650238473767886
21.0	false	0.9642289348171701
